"Component","contributor","dataset_id","dataset_name","dataset_type","num_items","dataset_size","scheduled_release_date","released_destinations","status","release_date","upload_date","metadata_check","released","governance_compliance"
"DataFlow","FAIR Demo Project A","syn50900295","Sc_rna_seq_level2","ScRNA-seqLevel2","4","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50900298","Sc_rna_seq_level3","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50907678","whole_exome_lvl1","BulkWESLevel1","23","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50907680","whole_exome_lvl3","BulkWESLevel3","4","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn51196547","Archive_2020","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn51210619","biospecimen_123","Biospecimen","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn51728830","tsting123","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907492","BIOSPEC","Biospecimen","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907495","Patient","Patient","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907500","Sc_rna_seq_level1","ScRNA-seqLevel1","5","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907504","Sc_rna_seq_level_2","BulkWESLevel2","6","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907506","Sc_rna_seq_level3","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn51198797","SC_RNA_SEQ_LVL1_testing","ScRNA-seqLevel1","5","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn53297196","new_folder_lw_scheduled_job_test","","","","","","","","",FALSE,FALSE,FALSE
